record	YYYY	deaths	weapon	OECD	Iraq/Afghan
05025	1992	3	6	1	0
05027	1992	4	6	1	0
05030	1992	1	4	0	0
05035	1987	1	2	0	0
05036	1987	1	2	1	0
05038	1987	1	4	1	0
05045	1987	1	6	0	0
05048	1988	1	6	0	0
05049	1988	3	2	0	0
05054	1988	3	2	0	0
05055	1988	7	2	0	0
05059	1989	1	2	0	0
05066	1989	1	6	0	0
05075	1990	1	6	0	0
05076	1990	1	6	0	0
05081	1991	36	6	1	0
05084	1991	2	4	0	0
05085	1991	1	5	1	0
05086	1991	7	2	1	0
05093	1991	1	6	1	0
05095	1991	1	5	0	0
05100	1991	2	4	1	0
05103	1993	3	4	0	0
05105	1993	3	6	0	0
05112	1992	1	4	1	0
05114	1992	1	2	1	0
05116	1992	1	4	0	0
05120	1992	1	6	0	0
05126	1993	1	4	0	0
05130	1994	9	2	0	0
05132	1994	1	4	0	0
05133	1994	10	6	0	0
05135	1994	2	6	0	0
05138	1996	1	4	0	0
05141	1996	1	4	1	0
05144	1987	5	2	0	0
05166	1987	1	4	1	0
05172	1987	1	2	0	0
05174	1987	1	5	0	0
05178	1987	1	2	0	0
05183	1987	2	6	0	0
05189	1987	1	2	0	0
05200	1987	1	2	0	0
05206	1987	1	4	0	0
05212	1987	1	6	1	0
05219	1987	1	4	1	0
05242	1987	3	4	0	0
05243	1987	72	2	0	0
05251	1987	1	4	1	0
05252	1987	1	4	1	0
05260	1987	2	2	0	0
05264	1987	1	3	1	0
05266	1987	7	2	0	0
05267	1987	1	4	1	0
05269	1987	1	2	0	0
05280	1987	1	6	0	0
05291	1987	2	2	0	0
05297	1987	7	2	0	0
05298	1987	5	2	0	0
05299	1987	2	5	0	0
05300	1987	1	6	0	0
05303	1987	1	2	0	0
05308	1987	2	6	1	0
05310	1987	1	4	1	0
05316	1987	1	4	0	0
05317	1987	1	6	0	0
05324	1987	1	4	0	0
05325	1987	1	4	0	0
05326	1987	1	4	0	0
05336	1987	4	2	0	0
05349	1987	2	4	0	0
05359	1987	2	6	1	0
05363	1987	2	6	0	0
05364	1987	5	5	0	0
05365	1987	1	2	0	0
05367	1987	4	6	0	0
05372	1987	16	4	0	0
05374	1987	7	2	0	0
05376	1987	2	5	0	0
05379	1987	115	2	0	0
05398	1988	1	1	1	0
05399	1988	1	6	1	0
05403	1988	1	2	0	0
05404	1988	1	2	0	0
05405	1988	2	2	0	0
05411	1988	1	6	0	0
05412	1988	3	6	0	0
05413	1988	8	2	0	1
05415	1988	2	2	0	0
05417	1988	10	2	0	0
05421	1988	5	2	0	0
05425	1988	1	4	0	0
05427	1988	2	6	0	0
05432	1988	1	4	0	0
05435	1988	3	2	0	0
05441	1988	1	2	0	0
05446	1988	5	2	0	0
05448	1988	2	6	0	0
05451	1988	1	2	0	0
05460	1988	2	6	0	0
05461	1988	3	2	0	0
05463	1988	6	6	0	0
05497	1988	1	4	1	0
05499	1988	1	4	0	0
05501	1988	7	2	0	0
05503	1988	2	6	0	0
05504	1988	1	4	1	0
05509	1988	2	6	0	0
05511	1988	2	2	0	0
05512	1988	29	2	0	1
05518	1988	5	2	1	0
05523	1988	4	2	0	0
05524	1988	1	2	0	0
05539	1988	1	6	0	0
05541	1988	4	2	0	0
05547	1988	1	6	1	0
05548	1988	1	6	1	0
05549	1988	1	4	1	0
05555	1988	2	2	1	0
05569	1988	1	2	0	0
05571	1988	3	2	0	0
05574	1988	7	2	0	0
05576	1988	2	2	0	0
05579	1988	1	4	0	0
05586	1988	1	6	0	0
05588	1988	10	2	0	0
05592	1988	2	4	0	0
05593	1988	1	6	0	0
05599	1988	13	2	0	0
05601	1988	1	6	0	0
05603	1988	1	2	1	0
05610	1988	1	6	0	0
05616	1988	2	2	1	0
